Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,,AMD,R9 290X,103,52.7,35262,https://gpu.userbenchmark.com/AMD-R9-290X/Rating/2166
GPU,11226-00-40G,Sapphire,Sapphire R9 290X 4GB TRI-X OC,103,52.7,35262,https://gpu.userbenchmark.com/AMD-R9-290X/Rating/2166
GPU,R9290X-DC2OC-4GD5,Asus,Asus R9 290X 4GB DirectCU II,103,52.7,35262,https://gpu.userbenchmark.com/AMD-R9-290X/Rating/2166
GPU,R9290XEDFD,XFX,XFX R9 290X 4GB Double Dissipation,103,52.7,35262,https://gpu.userbenchmark.com/AMD-R9-290X/Rating/2166
GPU,,Nvidia,GTX 1060-3GB,104,52.7,586807,https://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646
GPU,DUAL-GTX1060-O3G,Asus,Asus GTX 1060 3GB Dual OC,104,52.7,586807,https://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646
GPU,ZT-P10610A-10L,Zotac,Zotac GTX 1060 3GB Mini,104,52.7,586807,https://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646
GPU,03G-P4-6160-KR,EVGA,EVGA GTX 1060 3GB Gaming,104,52.7,586807,https://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646
GPU,03G-P4-6162-KR,EVGA,EVGA GTX 1060 3GB SC Gaming,104,52.7,586807,https://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646
GPU,GeForce GTX 1060 GAMING X 3G,MSI,MSI GTX 1060 3GB Gaming X,104,52.7,586807,https://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646
GPU,GTX 1060 GAMING X 3G,MSI,MSI GTX 1060 3GB Gaming X,104,52.7,586807,https://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646
GPU,GV-N1060WF2OC-3GD,Gigabyte,Gigabyte GTX 1060 3GB Windforce OC,104,52.7,586807,https://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646
GPU,GV-N1060G1GAMING-3GD,Gigabyte,Gigabyte GTX 1060 3GB G1 Gaming,104,52.7,586807,https://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646
GPU,GV-N1060IXOC-3GD,Gigabyte,Gigabyte GTX 1060 3GB Mini ITX OC,104,52.7,586807,https://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646
GPU,GTX 1060 3GT OC,MSI,MSI GTX 1060 3GB 3GT OC,104,52.7,586807,https://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646
GPU,GTX 1060 ARMOR 3G OCV1,MSI,MSI GTX 1060 3GB ARMOR 3G OCV1,104,52.7,586807,https://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646
GPU,GV-N1060G1GAM-3GD R2,Gigabyte,Gigabyte GTX 1060 3GB G1 Gaming R2,104,52.7,586807,https://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646
GPU,,Nvidia,GTX Titan Black,105,52.5,3342,https://gpu.userbenchmark.com/Nvidia-GTX-Titan-Black/Rating/3158
GPU,,AMD,R9 295X2 (CrossFire Disabled),106,50.4,2479,https://gpu.userbenchmark.com/SpeedTest/11791/AMD-Radeon-R9-200
GPU,,Nvidia,GTX 970,107,50.2,809548,https://gpu.userbenchmark.com/Nvidia-GTX-970/Rating/2577
GPU,GTX 970 GAMING 4G,MSI,MSI GTX 970 4GB Gaming,107,50.2,809548,https://gpu.userbenchmark.com/Nvidia-GTX-970/Rating/2577
GPU,STRIX-GTX970-DC20C-4GD5,Asus,ASUS GTX 970 4GB STRIX OC,107,50.2,809548,https://gpu.userbenchmark.com/Nvidia-GTX-970/Rating/2577
GPU,04G-P4-2974-KR,EVGA,EVGA GTX 970 4GB Super Clocked ACX 2.0,107,50.2,809548,https://gpu.userbenchmark.com/Nvidia-GTX-970/Rating/2577
GPU,GV-N970G1 GAMING-4GD,Gigabyte,Gigabyte GTX 970 4GB G1 Gaming,107,50.2,809548,https://gpu.userbenchmark.com/Nvidia-GTX-970/Rating/2577
GPU,GV-N970WF3OC-4GD,Gigabyte,Gigabyte GTX 970 4GB OC Windforce,107,50.2,809548,https://gpu.userbenchmark.com/Nvidia-GTX-970/Rating/2577
GPU,04G-P4-3975-KR,EVGA,EVGA GTX 970 4GB SSC ACX 2.0+,107,50.2,809548,https://gpu.userbenchmark.com/Nvidia-GTX-970/Rating/2577
GPU,TURBO-GTX970-OC-4GD5,Asus,Asus GTX 970 4GB Turbo OC,107,50.2,809548,https://gpu.userbenchmark.com/Nvidia-GTX-970/Rating/2577
GPU,04G-P4-3978-KR,EVGA,EVGA GTX 970 4GB FTW+ GAMING ACX 2.0+ w/BP,107,50.2,809548,https://gpu.userbenchmark.com/Nvidia-GTX-970/Rating/2577
GPU,ZT-90101-10P,Zotac,Zotac GTX 970 4GB Graphics Card,107,50.2,809548,https://gpu.userbenchmark.com/Nvidia-GTX-970/Rating/2577
GPU,,AMD,R9 390,108,50.1,87474,https://gpu.userbenchmark.com/AMD-R9-390/Rating/3481
GPU,R9 390 GAMING 8G,MSI,MSI R9 390 8GB Gaming,108,50.1,87474,https://gpu.userbenchmark.com/AMD-R9-390/Rating/3481
GPU,R9-390P-D28M,XFX,XFX R9 390 8GB Black,108,50.1,87474,https://gpu.userbenchmark.com/AMD-R9-390/Rating/3481
GPU,R9-390P-8256,XFX,XFX R9 390 8GB Double Dissipation,108,50.1,87474,https://gpu.userbenchmark.com/AMD-R9-390/Rating/3481
GPU,R9-390P-F28M,XFX,XFX R9 390 8GB Double Dissipation,108,50.1,87474,https://gpu.userbenchmark.com/AMD-R9-390/Rating/3481
GPU,R9-390P-8DF6,XFX,XFX R9 390 8GB Black Nero,108,50.1,87474,https://gpu.userbenchmark.com/AMD-R9-390/Rating/3481
GPU,11244-01-20G,Sapphire,Sapphire R9 390 8GB Nitro Tri-X OC +BP,108,50.1,87474,https://gpu.userbenchmark.com/AMD-R9-390/Rating/3481
GPU,11244-00-20G,Sapphire,Sapphire R9 390 8GB Nitro Tri-X OC,108,50.1,87474,https://gpu.userbenchmark.com/AMD-R9-390/Rating/3481
GPU,STRIX-R9390-DC3OC-8GD5-GAMING,Asus,Asus R9 390 8GB STRIX,108,50.1,87474,https://gpu.userbenchmark.com/AMD-R9-390/Rating/3481
GPU,,AMD,RX 5500,109,49.1,291,https://gpu.userbenchmark.com/AMD-RX-5500/Rating/4059
GPU,,AMD,RX 6500-XT,110,49,1029,https://gpu.userbenchmark.com/SpeedTest/1762761/AMD-Radeon-RX-6500-XT
GPU,‎RX6500XT PGD 4GO,ASRock,ASRock RX 6500 XT 4GB Phantom Gaming D OC,110,49,1029,https://gpu.userbenchmark.com/SpeedTest/1762761/AMD-Radeon-RX-6500-XT
GPU,RX6500XT CLI 4G,ASRock,ASRock RX 6500 XT 4GB Challenger ITX,110,49,1029,https://gpu.userbenchmark.com/SpeedTest/1762761/AMD-Radeon-RX-6500-XT
GPU,TUF-RX6500XT-O4G-GAMING,Asus,Asus RX 6500 XT 4GB TUF Gaming OC,110,49,1029,https://gpu.userbenchmark.com/SpeedTest/1762761/AMD-Radeon-RX-6500-XT
GPU,‎RX-65XT4DBDQ,XFX,XFX RX 6500 XT 4GB Speedster QICK210,110,49,1029,https://gpu.userbenchmark.com/SpeedTest/1762761/AMD-Radeon-RX-6500-XT
GPU,GV-R65XTGAMING OC-4GD,Gigabyte,Gigabyte RX 6500 XT 4GB Gaming OC,110,49,1029,https://gpu.userbenchmark.com/SpeedTest/1762761/AMD-Radeon-RX-6500-XT
GPU,GV-R65XTEAGLE-4GD,Gigabyte,Gigabyte RX 6500 XT 4GB Eagle,110,49,1029,https://gpu.userbenchmark.com/SpeedTest/1762761/AMD-Radeon-RX-6500-XT
GPU,AXRX 6500XT 4GBD6-DH/OC,PowerColor,PowerColor RX 6500 XT 4GB,110,49,1029,https://gpu.userbenchmark.com/SpeedTest/1762761/AMD-Radeon-RX-6500-XT
GPU,‎11314-01-20G,Sapphire,Sapphire RX 6500 XT 4GB Pulse,110,49,1029,https://gpu.userbenchmark.com/SpeedTest/1762761/AMD-Radeon-RX-6500-XT
GPU,,AMD,RX 480,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,21260-00-20G,AMD,Sapphire RX 480 8GB,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,RX-480M4BFA6,AMD,XFX RX 480 4GB 1266 MHz,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,21260-01-20G,AMD,Sapphire RX 480 4GB,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,Radeon RX 480 8G,AMD,MSI RX 480 8GB,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,RX-480M8BBA6,XFX,XFX RX 480 8GB 1328 MHz,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,RX480M8BFA6,XFX,XFX RX 480 8GB 1288 MHz,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,RX-480P8DFA6,XFX,XFX RX 480 8GB LED 1288 MHz,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,RX-480P836BM,XFX,XFX RX 480 8GB XXX 1288 MHz,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,RX-480P8DBA6,XFX,XFX RX 480 8GB Black 1338 MHz,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,RX-480P4JFC6,XFX,XFX RX 480 4GB RS,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,RX-480P8LFB6,XFX,XFX RX 480 8GB RS XXX 1288 MHz,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,RX480-8G,Asus,Asus RX 480 8GB,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,11260-07-20G,Sapphire,Sapphire RX 480 8GB NITRO+,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,11260-02-20G,Sapphire,Sapphire RX 480 4GB NITRO+,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,100406NT+4GOCL,Sapphire,Sapphire RX 480 4GB NITRO+,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,11260-01-20G,Sapphire,Sapphire RX 480 8GB NITRO+,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,AXRX480 8GBD5-3DH/OC,PowerColor,PowerColor RX 480 8GB Red Devil,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,Radeon RX 480 GAMING X 8G,MSI,MSI RX 480 8GB Gaming X,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,Radeon RX 480 GAMING X 4G,MSI,MSI RX 480 4GB Gaming X,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,RX 480 ARMOR 8G OC,MSI,MSI RX 480 8GB Armor OC,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,RX 480 ARMOR 4G OC,MSI,MSI RX 480 4GB Armor OC,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,STRIX-RX480-O8G-GAMING,Asus,Asus RX 480 8GB ROG STRIX OC,111,48.1,233732,https://gpu.userbenchmark.com/AMD-RX-480/Rating/3634
GPU,,Nvidia,GTX 780,112,47.6,61284,https://gpu.userbenchmark.com/Nvidia-GTX-780/Rating/2164
GPU,,Nvidia,GTX Titan,113,47.2,6674,https://gpu.userbenchmark.com/Nvidia-GTX-Titan/Rating/2191
GPU,,AMD,R9 290,114,47.1,61915,https://gpu.userbenchmark.com/AMD-R9-290/Rating/2171
GPU,11227-13-20G,Sapphire,Sapphire R9 290 4GB TRI-X OC,114,47.1,61915,https://gpu.userbenchmark.com/AMD-R9-290/Rating/2171
GPU,R9290AEDFD,XFX,XFX R9 290 4GB Double Dissipation,114,47.1,61915,https://gpu.userbenchmark.com/AMD-R9-290/Rating/2171
GPU,R9290AEDBD,XFX,XFX R9 290 4GB Black Double Dissipation,114,47.1,61915,https://gpu.userbenchmark.com/AMD-R9-290/Rating/2171
GPU,R9 290 GAMING 4G,MSI,MSI R9 290 4GB GAMING,114,47.1,61915,https://gpu.userbenchmark.com/AMD-R9-290/Rating/2171
GPU,11227-04-40G,Sapphire,Sapphire R9 290 4GB VAPOR-X TRI-X OC,114,47.1,61915,https://gpu.userbenchmark.com/AMD-R9-290/Rating/2171
GPU,,Nvidia,GTX 780 4GB,115,46.9,971,https://gpu.userbenchmark.com/SpeedTest/11282/NVIDIA-GeForce-GTX-780
GPU,,Nvidia,GTX 1060 (Mobile),116,46.7,175892,https://gpu.userbenchmark.com/SpeedTest/164336/NVIDIA-GeForce-GTX-1060
GPU,,AMD,RX 570,117,46.4,415950,https://gpu.userbenchmark.com/AMD-RX-570/Rating/3924
GPU,RX 570 ARMOR 4G OC,MSI,MSI RX 570 4G Armor OC,117,46.4,415950,https://gpu.userbenchmark.com/AMD-RX-570/Rating/3924
GPU,RX 570 GAMING X 4G,MSI,MSI RX 570 4GB Gaming X,117,46.4,415950,https://gpu.userbenchmark.com/AMD-RX-570/Rating/3924
GPU,GV-RX570GAMING-4GD,Gigabyte,Gigabyte RX 570 4GB Gaming,117,46.4,415950,https://gpu.userbenchmark.com/AMD-RX-570/Rating/3924
GPU,GV-RX570AORUS-4GD,Gigabyte,Gigabyte RX 570 4GB AORUS,117,46.4,415950,https://gpu.userbenchmark.com/AMD-RX-570/Rating/3924
GPU,RX 570 ARMOR 8G OC,MSI,MSI RX 570 8G Armor OC,117,46.4,415950,https://gpu.userbenchmark.com/AMD-RX-570/Rating/3924
GPU,ROG-STRIX-RX570-O4G-GAMING,Asus,Asus RX 570 4GB ROG Strix,117,46.4,415950,https://gpu.userbenchmark.com/AMD-RX-570/Rating/3924
GPU,AXRX 570 4GBD5-3DHD/OC,PowerColor,PowerColor RX 570 4GB Red Dragon,117,46.4,415950,https://gpu.userbenchmark.com/AMD-RX-570/Rating/3924
GPU,RX-570P4DFD6,XFX,XFX RX 570 4GB Twin,117,46.4,415950,https://gpu.userbenchmark.com/AMD-RX-570/Rating/3924
GPU,RX-570P427D6,XFX,XFX RX 570 4GB Twin,117,46.4,415950,https://gpu.userbenchmark.com/AMD-RX-570/Rating/3924
GPU,RX-570P4DFDR,XFX,XFX RX 570 4GB Twin,117,46.4,415950,https://gpu.userbenchmark.com/AMD-RX-570/Rating/3924
GPU,RX-570P8DFD6,XFX,XFX RX 570 4GB Twin XXX,117,46.4,415950,https://gpu.userbenchmark.com/AMD-RX-570/Rating/3924
GPU,,Nvidia,Quadro K6000,118,45.5,1124,https://gpu.userbenchmark.com/Nvidia-Quadro-K6000/Rating/2837
GPU,,Nvidia,GTX 1060 (Mobile Max-Q),119,43.7,37938,https://gpu.userbenchmark.com/SpeedTest/325746/NVIDIA-GeForce-GTX-1060-with-Max-Q-Design
GPU,,Nvidia,GTX 1650,120,42.9,232326,https://gpu.userbenchmark.com/Nvidia-GTX-1650/Rating/4039
GPU,G1650VXS4C,MSI,MSI GTX 1650 4GB Ventus XS OC,120,42.9,232326,https://gpu.userbenchmark.com/Nvidia-GTX-1650/Rating/4039
GPU,ZT-T16500F-10L,Zotac,Zotac GTX 1650 4GB OC Compact,120,42.9,232326,https://gpu.userbenchmark.com/Nvidia-GTX-1650/Rating/4039
GPU,PH-GTX1650-O4G,Asus,Asus GTX 1650 4GB Phoenix,120,42.9,232326,https://gpu.userbenchmark.com/Nvidia-GTX-1650/Rating/4039
GPU,GV-N1650OC-4GD,Gigabyte,Gigabyte GTX 1650 4GB OC,120,42.9,232326,https://gpu.userbenchmark.com/Nvidia-GTX-1650/Rating/4039
GPU,GV-N1650IXOC-4GD,Gigabyte,Gigabyte GTX 1650 4GB Mini ITX OC,120,42.9,232326,https://gpu.userbenchmark.com/Nvidia-GTX-1650/Rating/4039
GPU,04G-P4-1153-KR,EVGA,EVGA GTX 1650 4GB XC Gaming,120,42.9,232326,https://gpu.userbenchmark.com/Nvidia-GTX-1650/Rating/4039
GPU,GTX 1650 Gaming X 4G,MSI,MSI GTX 1650 4GB Gaming X,120,42.9,232326,https://gpu.userbenchmark.com/Nvidia-GTX-1650/Rating/4039
GPU,,AMD,Radeon Pro 5500M,121,42.6,1978,https://gpu.userbenchmark.com/SpeedTest/960765/AMD-Radeon-Pro-5500M
GPU,,Nvidia,GTX 1650-Ti (Mobile),122,42.3,34721,https://gpu.userbenchmark.com/SpeedTest/1091296/NVIDIA-GeForce-GTX-1650-Ti
GPU,,Nvidia,GTX 1650 (Mobile),123,41.4,75743,https://gpu.userbenchmark.com/SpeedTest/775280/NVIDIA-GeForce-GTX-1650
GPU,,Nvidia,GTX 980M,124,40.9,11961,https://gpu.userbenchmark.com/SpeedTest/15596/NVIDIA-GeForce-GTX-980M
GPU,,AMD,RX 470,125,40.7,74730,https://gpu.userbenchmark.com/AMD-RX-470/Rating/3640
GPU,Radeon RX 470 GAMING X 4G,MSI,MSI RX 470 4GB Gaming X,125,40.7,74730,https://gpu.userbenchmark.com/AMD-RX-470/Rating/3640
GPU,Radeon RX 470 GAMING X 8G,MSI,MSI RX 470 8GB Gaming X,125,40.7,74730,https://gpu.userbenchmark.com/AMD-RX-470/Rating/3640
GPU,11256-02-20G,Sapphire,Sapphire RX 470 8GB NITRO+,125,40.7,74730,https://gpu.userbenchmark.com/AMD-RX-470/Rating/3640
GPU,11256-01-20G,Sapphire,Sapphire RX 470 4GB NITRO+,125,40.7,74730,https://gpu.userbenchmark.com/AMD-RX-470/Rating/3640
GPU,11256-00-20G,Sapphire,Sapphire RX 470 4GB,125,40.7,74730,https://gpu.userbenchmark.com/AMD-RX-470/Rating/3640
GPU,100407-4GOCL,Sapphire,Sapphire RX 470 4GB,125,40.7,74730,https://gpu.userbenchmark.com/AMD-RX-470/Rating/3640
GPU,STRIX-RX470-O4G-GAMING,Asus,Asus RX 470 4GB ROG STRIX OC,125,40.7,74730,https://gpu.userbenchmark.com/AMD-RX-470/Rating/3640
GPU,GV-RX470G1 GAMING-4GD,Gigabyte,Gigabyte RX 470 4GB G1 Gaming,125,40.7,74730,https://gpu.userbenchmark.com/AMD-RX-470/Rating/3640
GPU,AXRX 470 4GBD5-3DH/OC,PowerColor,PowerColor RX 470 4GB Red Devil/Dragon,125,40.7,74730,https://gpu.userbenchmark.com/AMD-RX-470/Rating/3640
GPU,HS-470R4LCNR/HS-470R4LTNR,PwrHis,HIS RX 470 4GB IceQ X² OC,125,40.7,74730,https://gpu.userbenchmark.com/AMD-RX-470/Rating/3640
GPU,RX-470P4SFD5,XFX,XFX RX 470 4GB Single Fan,125,40.7,74730,https://gpu.userbenchmark.com/AMD-RX-470/Rating/3640
GPU,RX-470P4LFB6,XFX,XFX RX 470 4GB Black,125,40.7,74730,https://gpu.userbenchmark.com/AMD-RX-470/Rating/3640
GPU,Radeon RX 470 ARMOR 4G OC,MSI,MSI RX 470 4GB ARMOR OC,125,40.7,74730,https://gpu.userbenchmark.com/AMD-RX-470/Rating/3640
GPU,,Nvidia,Quadro P2000,126,40.5,12915,https://gpu.userbenchmark.com/SpeedTest/257811/NVIDIA-Quadro-P2000
GPU,,AMD,HD 7970,127,39.6,6473,https://gpu.userbenchmark.com/AMD-HD-7970/Rating/2163
GPU,,AMD,R9 380X,128,39.4,20140,https://gpu.userbenchmark.com/AMD-R9-380X/Rating/3532
GPU,R9-380X-F24M,XFX,XFX R9 380X 4GB Black DD XXX OC,128,39.4,20140,https://gpu.userbenchmark.com/AMD-R9-380X/Rating/3532
GPU,11250-01-20G,Sapphire,Sapphire R9 380X 4GB Nitro Dual-X OC,128,39.4,20140,https://gpu.userbenchmark.com/AMD-R9-380X/Rating/3532
GPU,GV-R938XG1 GAMING-4GD,Gigabyte,Gigabyte R9 380X 4GB Gaming,128,39.4,20140,https://gpu.userbenchmark.com/AMD-R9-380X/Rating/3532
GPU,AXR9 280X 3GBD5-T2DHE/OC,PowerColor,PowerColor R9 280X 3GB OC,128,39.4,20140,https://gpu.userbenchmark.com/AMD-R9-380X/Rating/3532
GPU,,Nvidia,Quadro P3000,129,38.8,1116,https://gpu.userbenchmark.com/SpeedTest/264483/NVIDIA-Quadro-P3000
GPU,,Nvidia,GeForce GTX 690 (SLI Disabled),130,38.8,5473,https://gpu.userbenchmark.com/SpeedTest/8241/NVIDIA-GeForce-GTX-690
GPU,,AMD,R9 280X,131,37.6,99661,https://gpu.userbenchmark.com/AMD-R9-280X/Rating/2192
GPU,11221-00-20G,Sapphire,Sapphire R9 280X 3GB Dual-X OC,131,37.6,99661,https://gpu.userbenchmark.com/AMD-R9-280X/Rating/2192
GPU,11221-20-20G,Sapphire,Sapphire R9 280X 3GB VAPOR-X,131,37.6,99661,https://gpu.userbenchmark.com/AMD-R9-280X/Rating/2192
GPU,11221-01-40G,Sapphire,Sapphire R9 280X 3GB TOXIC,131,37.6,99661,https://gpu.userbenchmark.com/AMD-R9-280X/Rating/2192
GPU,GV-R928XOC-3GD REV3,Gigabyte,Gigabyte R9 280X 3GB WINDFORCE OC REV3,131,37.6,99661,https://gpu.userbenchmark.com/AMD-R9-280X/Rating/2192
GPU,,AMD,FirePro W9000,132,36.6,75,https://gpu.userbenchmark.com/AMD-FirePro-W9000/Rating/2841
GPU,,Nvidia,GTX 770,133,36.4,120275,https://gpu.userbenchmark.com/Nvidia-GTX-770/Rating/2174
GPU,,Nvidia,GTX 1650 (Mobile Max-Q),134,36.2,6601,https://gpu.userbenchmark.com/SpeedTest/790279/NVIDIA-GeForce-GTX-1650-with-Max-Q-Design
GPU,,Intel,Arc A380,135,36.2,75,https://gpu.userbenchmark.com/SpeedTest/1795939/IntelR-ArcTM-A380-Graphics
GPU,,AMD,HD 7990 (CrossFire Disabled),136,36,1154,https://gpu.userbenchmark.com/SpeedTest/7985/AMD-Radeon-HD-7900
GPU,,AMD,Radeon RX Vega M GH,137,35.9,3149,https://gpu.userbenchmark.com/SpeedTest/422266/Radeon-RX-Vega-M-GH-Graphics
GPU,,AMD,Radeon Pro 5300M,138,35.9,957,https://gpu.userbenchmark.com/SpeedTest/965657/AMD-Radeon-Pro-5300M
GPU,,AMD,RX 6400,139,34.8,396,https://gpu.userbenchmark.com/SpeedTest/1834749/AMD-Radeon-RX-6400
GPU,,AMD,R9 380,140,34.4,75334,https://gpu.userbenchmark.com/AMD-R9-380/Rating/3482
GPU,R9 380 GAMING 4G,MSI,MSI R9 380 GAMING 4GB,140,34.4,75334,https://gpu.userbenchmark.com/AMD-R9-380/Rating/3482
GPU,11242-13-20G,Sapphire,Sapphire R9 380 4GB NITRO,140,34.4,75334,https://gpu.userbenchmark.com/AMD-R9-380/Rating/3482
GPU,11242-02-20G,Sapphire,Sapphire R9 380 2GB Dual-X OC,140,34.4,75334,https://gpu.userbenchmark.com/AMD-R9-380/Rating/3482
GPU,11242-00-20G,Sapphire,Sapphire R9 380 2GB Dual-X OC,140,34.4,75334,https://gpu.userbenchmark.com/AMD-R9-380/Rating/3482
GPU,GV-R938G1 GAMING-4GD,Gigabyte,Gigabyte R9 380 4GB G1,140,34.4,75334,https://gpu.userbenchmark.com/AMD-R9-380/Rating/3482
GPU,GV-R938WF2-4GD,Gigabyte,Gigabyte R9 380 4GB G1 Windforce,140,34.4,75334,https://gpu.userbenchmark.com/AMD-R9-380/Rating/3482
GPU,R9-380P-2DF5,XFX,XFX R9 380 2GB DD Edition 2DF5,140,34.4,75334,https://gpu.userbenchmark.com/AMD-R9-380/Rating/3482
GPU,R9-380P-F22M,XFX,XFX R9 380 2GB DD Edition F22M,140,34.4,75334,https://gpu.userbenchmark.com/AMD-R9-380/Rating/3482
GPU,R9-380P-4255,XFX,XFX R9 380 4GB DD Edition 4255,140,34.4,75334,https://gpu.userbenchmark.com/AMD-R9-380/Rating/3482
GPU,R9-380P-4DF5,XFX,XFX R9 380 4GB 4DF5,140,34.4,75334,https://gpu.userbenchmark.com/AMD-R9-380/Rating/3482
GPU,STRIX-R9380-DC2OC-2GD5-GAMING,Asus,Asus R9 380 2GB STRIX,140,34.4,75334,https://gpu.userbenchmark.com/AMD-R9-380/Rating/3482
GPU,STRIX-R9380-DC2OC-4GD5-GAMING,Asus,Asus R9 380  4GB STRIX GAMING,140,34.4,75334,https://gpu.userbenchmark.com/AMD-R9-380/Rating/3482
GPU,AXR9 380 4GBD5-PPDHE,PowerColor,PowerColor R9 380 4GB PCS+,140,34.4,75334,https://gpu.userbenchmark.com/AMD-R9-380/Rating/3482
GPU,,Nvidia,GTX 680,141,33.9,33141,https://gpu.userbenchmark.com/Nvidia-GTX-680/Rating/3148
GPU,,Nvidia,GTX 960,142,33.6,418450,https://gpu.userbenchmark.com/Nvidia-GTX-960/Rating/3165
GPU,02G-P4-2966-KR,EVGA,EVGA GTX 960 2GB SuperSC ACX 2.0+,142,33.6,418450,https://gpu.userbenchmark.com/Nvidia-GTX-960/Rating/3165
GPU,STRIX-GTX960-DC2OC-2GD5,Asus,ASUS GTX 960 2GB STRIX,142,33.6,418450,https://gpu.userbenchmark.com/Nvidia-GTX-960/Rating/3165
GPU,GTX 960 GAMING 2G,MSI,MSI GTX 960 2GB Gaming,142,33.6,418450,https://gpu.userbenchmark.com/Nvidia-GTX-960/Rating/3165
GPU,GTX 960 GAMING 4G,MSI,MSI GTX 960 4GB Gaming,142,33.6,418450,https://gpu.userbenchmark.com/Nvidia-GTX-960/Rating/3165
GPU,04G-P4-3967-KR,EVGA,EVGA GTX 960 4GB SuperSC ACX 2.0 Backplate,142,33.6,418450,https://gpu.userbenchmark.com/Nvidia-GTX-960/Rating/3165
GPU,GV-N960WF2OC-2GD,Gigabyte,Gigabyte GTX 960 2GB Windforce 2X,142,33.6,418450,https://gpu.userbenchmark.com/Nvidia-GTX-960/Rating/3165
GPU,GV-N960OC-4GD,Gigabyte,Gigabyte GTX 960 2GB OC,142,33.6,418450,https://gpu.userbenchmark.com/Nvidia-GTX-960/Rating/3165
GPU,STRIX-GTX960-DC2OC-4GD5,Asus,ASUS GTX 960 4GB STRIX,142,33.6,418450,https://gpu.userbenchmark.com/Nvidia-GTX-960/Rating/3165
GPU,04G-P4-3969-KR,EVGA,EVGA GTX 960 4GB FTW GAMING ACX 2.0+,142,33.6,418450,https://gpu.userbenchmark.com/Nvidia-GTX-960/Rating/3165
GPU,,AMD,R9 285,143,32.8,5935,https://gpu.userbenchmark.com/AMD-R9-285/Rating/3174
GPU,R9 285 GAMING 2G,MSI,MSI R9 285 2GB GAMING,143,32.8,5935,https://gpu.userbenchmark.com/AMD-R9-285/Rating/3174
GPU,11235-03-20G,Sapphire,Sapphire R9 285 2GB Dual-X OC,143,32.8,5935,https://gpu.userbenchmark.com/AMD-R9-285/Rating/3174
GPU,AXR9 285 2GBD5-TDHE,PowerColor,PowerColor R9 285 2GB Turbo Duo,143,32.8,5935,https://gpu.userbenchmark.com/AMD-R9-285/Rating/3174
GPU,,AMD,R9 280,144,32,42793,https://gpu.userbenchmark.com/AMD-R9-280/Rating/2241
GPU,11230-00-20G,Sapphire,Sapphire R9 280 3GB Dual-X,144,32,42793,https://gpu.userbenchmark.com/AMD-R9-280/Rating/2241
